feature_name,component,mean_abs_W,median_abs_W,std_abs_W,rms_abs_W,max_abs_W,p95_abs_W,p99_abs_W,mean_abs_B,median_abs_B,std_abs_B,rms_abs_B,max_abs_B,p95_abs_B,p99_abs_B,frac_abs_B_lt_0.05,frac_abs_B_gt_0.10,frac_abs_B_gt_0.20,mean_abs_K,median_abs_K,std_abs_K,rms_abs_K,max_abs_K,p95_abs_K,p99_abs_K,frac_abs_K_lt_0.05,frac_abs_K_gt_0.10,frac_abs_K_gt_0.20,rank_mean_abs_W,rank_mean_abs_B,rank_mean_abs_K
U_Wind,ALL,0.9960806369781494,0.9863067865371704,0.07266993820667267,0.9987279896274316,1.2573777437210083,1.1290781438350677,1.1747307193279266,0.047799281775951385,0.03830913454294205,0.03939990699291229,0.06194452297455861,0.25507840514183044,0.12692249044775963,0.17504241853952412,0.6278935185185185,0.10821759259259259,0.004822530864197531,0.056433454155921936,0.04919235035777092,0.040617719292640686,0.06953081230688542,0.26890528202056885,0.13195818662643424,0.16968486219644555,0.5067515432098766,0.15200617283950618,0.004050925925925926,4,3,1
V_Wind,ALL,0.9895076751708984,0.989051342010498,0.05577020347118378,0.9910780701522492,1.2490637302398682,1.080671352148056,1.12825031042099,0.04370493069291115,0.03713378682732582,0.03254515305161476,0.05449135573667358,0.20467214286327362,0.1066753171384334,0.1429130858182907,0.6448688271604939,0.06442901234567901,0.00019290123456790122,0.03974873200058937,0.03225577622652054,0.032003629952669144,0.051031301744760726,0.1976136714220047,0.10281422175467002,0.14518237426877023,0.6905864197530864,0.05632716049382716,0.0,5,4,7
Temperature,ALL,1.0121665000915527,1.013631820678711,0.06347142159938812,1.0141547345834718,1.258012056350708,1.114343535900116,1.1683009946346283,0.05360473692417145,0.046919725835323334,0.03867470473051071,0.06609993110511965,0.1931850165128708,0.12637202069163322,0.154541771709919,0.5235339506172839,0.13638117283950618,0.0,0.0425945520401001,0.03541233390569687,0.034199394285678864,0.05462503473065309,0.25785356760025024,0.10822952948510638,0.15692905083298686,0.6678240740740741,0.06674382716049383,0.0021219135802469135,2,2,5
Solar_Flux,ALL,1.0016751289367676,0.9986037015914917,0.0655028447508812,1.0038146509990282,1.2822290658950806,1.1114633917808532,1.1488434493541717,0.06378307938575745,0.05313846468925476,0.048222873359918594,0.07996078413731776,0.2472580373287201,0.15205174311995504,0.18759099140763286,0.4791666666666667,0.24151234567901234,0.0055941358024691355,0.043521780520677567,0.03633663058280945,0.03349362313747406,0.0549178309493152,0.22630159556865692,0.10661282651126383,0.1419056756794453,0.6452546296296297,0.06963734567901235,0.0013503086419753086,3,1,4
V_sync,ALL,1.0177651643753052,1.0190069675445557,0.05935385078191757,1.0194943971763797,1.3033872842788696,1.116468048095703,1.1725516617298126,0.04059075936675072,0.03282264247536659,0.03262440860271454,0.05207650029841917,0.25904351472854614,0.10429535694420335,0.14479677960276605,0.6948302469135802,0.06076388888888889,0.0013503086419753086,0.04812098667025566,0.04096077382564545,0.035339973866939545,0.05970379708114677,0.228122740983963,0.11739250086247921,0.14176014557480812,0.5929783950617284,0.10050154320987655,0.0005787037037037037,1,5,2
V_sync_2,ALL,0.9858441948890686,0.9825750589370728,0.06559740751981735,0.9880241917546152,1.2532960176467896,1.1007948875427245,1.144151805639267,0.03559475019574165,0.02940879389643669,0.028553174808621407,0.04563189886725414,0.18216432631015778,0.09127598367631427,0.12657849565148355,0.748070987654321,0.036265432098765434,0.0,0.04177780821919441,0.03581177443265915,0.03150181844830513,0.05232351090830619,0.23908686637878418,0.10231321454048156,0.13693047687411314,0.6620370370370371,0.055748456790123455,0.0007716049382716049,6,7,6
V_sync_3,ALL,0.9827243089675903,0.978451132774353,0.05975186824798584,0.984539169292151,1.1816641092300415,1.0884128987789154,1.1252368593215942,0.037743326276540756,0.029428280889987946,0.031282003968954086,0.04902165301785706,0.20554810762405396,0.1019976038485765,0.13331058010458952,0.7235725308641975,0.05401234567901234,0.00019290123456790122,0.04666965827345848,0.04010922461748123,0.033418796956539154,0.05740098550325441,0.21837610006332397,0.10754562206566332,0.13240570917725564,0.591820987654321,0.07465277777777778,0.0009645061728395061,7,6,3
