feature_name,component,mean_abs_W,median_abs_W,std_abs_W,rms_abs_W,max_abs_W,p95_abs_W,p99_abs_W,mean_abs_B,median_abs_B,std_abs_B,rms_abs_B,max_abs_B,p95_abs_B,p99_abs_B,frac_abs_B_lt_0.05,frac_abs_B_gt_0.10,frac_abs_B_gt_0.20,mean_abs_K,median_abs_K,std_abs_K,rms_abs_K,max_abs_K,p95_abs_K,p99_abs_K,frac_abs_K_lt_0.05,frac_abs_K_gt_0.10,frac_abs_K_gt_0.20
U_Wind,SIN,0.9917003512382507,0.9779413938522339,0.07852893322706223,0.9948046935293295,1.2573777437210083,1.1376863360404967,1.1897763252258302,0.036109987646341324,0.031710151582956314,0.026164479553699493,0.04459272519656096,0.14479735493659973,0.08501134403049945,0.12057493507862095,0.7465277777777778,0.02970679012345679,0.0,0.060009513050317764,0.05396963655948639,0.03969072923064232,0.07194786955452942,0.1878318190574646,0.1321410946547985,0.15255119323730493,0.4702932098765432,0.18479938271604937,0.0
U_Wind,COS,1.0004609823226929,0.9935866594314575,0.06600508838891983,1.002635934057083,1.2027119398117065,1.1215277910232544,1.1605733346939087,0.059488579630851746,0.04921367019414902,0.046334072947502136,0.07540382425736268,0.25507840514183044,0.14876334220170975,0.19625004813075095,0.5092592592592593,0.1867283950617284,0.009645061728395061,0.05285738781094551,0.044678062200546265,0.04121490567922592,0.06702664982434284,0.26890528202056885,0.1312039025127887,0.19327721074223536,0.5432098765432098,0.11921296296296297,0.008101851851851851
V_Wind,SIN,0.9972054958343506,0.9980438947677612,0.05832444131374359,0.9989096199660517,1.2490637302398682,1.093161940574646,1.1355680656433107,0.04216573387384415,0.03716440498828888,0.029282303526997566,0.05133616971964122,0.18381763994693756,0.09737245403230185,0.12522369831800478,0.6616512345679012,0.04398148148148148,0.0,0.036945097148418427,0.03087563067674637,0.028844989836215973,0.046871885872891365,0.1700003445148468,0.0926605265587568,0.12806463956832892,0.720679012345679,0.036265432098765434,0.0
V_Wind,COS,0.9818099141120911,0.9818162322044373,0.051965177059173584,0.9831841401348436,1.1681149005889893,1.0716491401195527,1.1060394406318665,0.04524412751197815,0.037102773785591125,0.03544265776872635,0.05747358853036418,0.20467214286327362,0.11669492572546003,0.15257863327860832,0.6280864197530864,0.08487654320987655,0.00038580246913580245,0.042552363127470016,0.03363076597452164,0.0346512645483017,0.054876350372890924,0.1976136714220047,0.11493454277515401,0.15400234192609805,0.6604938271604939,0.0763888888888889,0.0
Temperature,SIN,1.0153554677963257,1.0256397724151611,0.07719258219003677,1.0182855232129633,1.258012056350708,1.1374009430408478,1.1825676393508913,0.0628960132598877,0.0588543526828289,0.041070304811000824,0.07511776334164307,0.1820993423461914,0.1358876399695873,0.16161316081881527,0.43016975308641975,0.2052469135802469,0.0,0.03983330354094505,0.03450795263051987,0.030802369117736816,0.05035353302776955,0.18618442118167877,0.10086402669548987,0.14498551696538958,0.7056327160493827,0.05324074074074074,0.0
Temperature,COS,1.0089777708053589,1.008484125137329,0.04558739811182022,1.010007051743227,1.169760823249817,1.0878126919269562,1.1242165613174437,0.0443134643137455,0.03740829974412918,0.03364580497145653,0.05563922550460271,0.1931850165128708,0.10832385681569573,0.1398678517341614,0.6168981481481481,0.06751543209876543,0.0,0.045355796813964844,0.03653475269675255,0.037083178758621216,0.05858592450641564,0.25785356760025024,0.11700013168156141,0.1674479256570343,0.6300154320987654,0.08024691358024691,0.004243827160493827
Solar_Flux,SIN,0.9950600862503052,0.9925892353057861,0.058988697826862335,0.9968070916738279,1.1699532270431519,1.094560259580612,1.12750869512558,0.07898297905921936,0.0783996731042862,0.0484614260494709,0.09266509821452287,0.2472580373287201,0.15617859736084932,0.1851076991856099,0.3395061728395062,0.3618827160493827,0.005401234567901234,0.04400000721216202,0.03724600374698639,0.03217587620019913,0.054509517285546004,0.1731969714164734,0.10387344807386396,0.13401868209242848,0.6331018518518519,0.062114197530864196,0.0
Solar_Flux,COS,1.0082902908325195,1.0054099559783936,0.07081003487110138,1.0107736290136218,1.2822290658950806,1.1243268430233002,1.1705611610412603,0.04858318343758583,0.03736911714076996,0.04289880767464638,0.06481229491849742,0.2444988340139389,0.14152893275022504,0.19055649653077128,0.6188271604938271,0.12114197530864197,0.005787037037037037,0.043043553829193115,0.034808143973350525,0.03475487232208252,0.0553231311266082,0.22630159556865692,0.1130901180207729,0.14513076856732376,0.6574074074074074,0.07716049382716049,0.002700617283950617
V_sync,SIN,1.0108070373535156,1.0175755023956299,0.050406455993652344,1.012062985448275,1.1760460138320923,1.0859956920146943,1.1194804179668427,0.03034009411931038,0.02651069313287735,0.0223801638931036,0.03770136639828826,0.12715105712413788,0.07392953932285301,0.10000090688467028,0.8267746913580247,0.010030864197530864,0.0,0.04640905186533928,0.038863569498062134,0.034887075424194336,0.05805952499739868,0.15158255398273468,0.11736671365797519,0.13469148293137553,0.6161265432098766,0.10378086419753087,0.0
V_sync,COS,1.0247234106063843,1.0219147205352783,0.06639362871646881,1.0268720296286118,1.3033872842788696,1.1447460830211638,1.1852020907402043,0.050841424614191055,0.043686699122190475,0.037652090191841125,0.06326555728328428,0.25904351472854614,0.12263162732124322,0.1582075376808644,0.5628858024691358,0.11149691358024691,0.002700617283950617,0.04983292147517204,0.043066736310720444,0.03570515289902687,0.06130398297737218,0.228122740983963,0.11751774623990054,0.1506391294300556,0.5698302469135802,0.09722222222222222,0.0011574074074074073
